"","TEAM","SEASON","GP","W","L","WIN.","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","X...","OFFRTG","DEFRTG","NETRTG","AST.","AST.TO","AST.RATIO","OREB.","DREB.","REB.","TOV.","EFG.","TS.","PACE","PIE","REGION","ABV"
"79","New York Knicks","2018-2019",82,17,65,0.207,48.2,104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5,34.3,44.7,20.1,14,6.8,5.1,5.6,20.9,20.8,-9.2,104,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14,49,52.9,100.16,44.2,"East","NYK"
"80","New York Knicks","2017-2018",82,29,53,0.354,48.4,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19,78.7,10.5,33.6,44,23.3,14.7,6.7,5.1,4.7,20.5,18.4,-3.6,106.3,109.7,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15,51,54.4,97.64,48.1,"East","NYK"
"81","Oklahoma City Thunder","2017-2018",82,48,34,0.585,48.4,107.9,39.9,88.1,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,14,9.1,5,4.6,20.2,21.3,3.4,110.1,106.4,3.7,53.5,1.53,15.8,32,72.5,51.5,14.3,51.4,54.6,97.34,50.8,"West","OKC"
"82","Oklahoma City Thunder","2016-2017",82,47,35,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21,15,7.9,5,5.5,20.9,20.7,0.8,107.9,107.1,0.8,53.2,1.4,15.5,32.3,74.2,52.8,15.2,50,54,98.18,49.9,"West","OKC"
"83","Oklahoma City Thunder","2015-2016",82,55,27,0.671,48.4,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23,15.9,7.4,5.9,4.5,20.6,20.2,7.3,112.1,104.8,7.4,55.8,1.44,16.7,34.7,72,54.1,16.2,52.4,56.5,97.54,54.6,"West","OKC"
"84","Oklahoma City Thunder","2018-2019",82,49,33,0.598,48.4,114.5,42.6,94,45.4,11.4,32.6,34.8,17.8,25,71.3,12.6,35.5,48.1,23.4,14,9.3,5.2,5.1,22.4,22.5,3.4,109.8,106.5,3.4,54.8,1.67,16.3,29.8,73.8,50.9,13.4,51.4,54.5,103.38,50.6,"West","OKC"
"85","Orlando Magic","2017-2018",82,25,57,0.305,48.1,103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,14.5,7.6,4.9,4.9,19.3,19,-4.8,104.7,109.4,-4.7,60.4,1.61,17.5,24.8,71.4,48,14.7,51.2,54.5,98.58,47.2,"East","ORL"
"86","Orlando Magic","2018-2019",82,42,40,0.512,48.2,107.3,40.4,89.1,45.4,11.4,32.1,35.6,15,19.2,78.2,10,35.4,45.4,25.5,13.2,6.6,5.4,4.4,18.6,18.7,0.7,108.2,107.6,0.6,63.2,1.94,18.6,25.9,75.4,50.4,13.3,51.8,55,98.65,50.8,"East","ORL"
"87","Orlando Magic","2016-2017",82,29,53,0.354,48.3,101.1,38.3,87,44,8.5,26.1,32.8,16,21.4,74.7,9.8,33.3,43.2,22.2,13.3,7.1,4.8,5.1,19.3,18.7,-6.6,103.7,110.3,-6.5,58,1.67,16.8,26.7,72.6,49.1,13.7,48.9,52.4,96.9,46,"East","ORL"
"88","Orlando Magic","2015-2016",82,35,47,0.427,48.5,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6,104.4,106,-1.6,59.6,1.67,17.6,27.1,72.6,49.5,14.4,50,53.3,96.68,48.8,"East","ORL"
"89","Philadelphia 76ers","2017-2018",82,52,30,0.634,48.2,109.8,40.8,86.6,47.2,11,29.8,36.9,17.1,22.8,75.2,10.9,36.5,47.4,27.1,16.5,8.3,5.1,5.1,22.1,20.4,4.5,108.5,103.9,4.6,66.3,1.64,19.1,28.6,73.6,52,16.3,53.5,56.8,100.75,54.2,"East","PHI"
"90","Philadelphia 76ers","2015-2016",82,10,72,0.122,48.3,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,98.4,108.6,-10.2,59.4,1.31,16.3,25,69.3,46.6,16.5,48.7,51.9,98.44,42.8,"East","PHI"
"91","Philadelphia 76ers","2018-2019",82,51,31,0.622,48.3,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,14.9,7.4,5.3,4.1,21.3,22.1,2.7,111.6,109,2.6,64.8,1.8,18.7,27.8,74.1,51.7,14.4,53.2,57.4,102.59,52.9,"East","PHI"
"92","Philadelphia 76ers","2016-2017",82,28,54,0.341,48.4,102.4,37.7,85.3,44.2,10.1,29.8,34,17,22,77.1,9.8,33,42.8,23.8,16.7,8.4,5.1,5.4,21.9,19.6,-5.7,102.7,108.2,-5.5,63.1,1.43,17.4,27.3,70.9,49,16.7,50.1,53.9,99.07,47,"East","PHI"
"93","Phoenix Suns","2017-2018",82,21,61,0.256,48.1,103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.9,44.1,21.3,15.7,6.9,4.5,6,22,20.9,-9.4,102.8,111.7,-9,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.14,44.2,"West","PHX"
